INSEE;lon;lat
241200765;2.81;44.21
246300966;2.87;45.50
200040830;1.34;44.95
249730037;-1.61;41.97
243200508;0.13;43.55
247200421;0.36;47.93
244301131;4.27;45.33
200066728;-0.45;49.10
242900645;-4.33;48.07
200035756;0.39;43.44
249710070;-4.72;41.81
200071074;1.55;49.01
248900334;3.34;48.16
242010130;8.94;41.65
245801063;3.19;46.90
200058014;2.38;48.75
247000367;5.97;47.60
245600465;-3.18;47.33
240100750;5.99;46.27
241400860;-0.41;49.30
200066777;-2.44;48.00
248000499;2.53;49.92
200039022;-1.23;48.08
200065894;4.26;45.75
242000495;9.21;41.74
200068484;2.98;44.41
200034205;9.48;42.35
243000270;3.53;43.96
200070803;0.22;43.23
244100293;0.91;48.01
200068005;2.26;49.61
244500427;2.21;47.89
243900560;5.67;47.18
248900383;3.51;47.95
200041960;3.17;50.50
246800551;7.18;48.14
240200444;3.83;49.89
200035327;1.25;44.64
200067361;1.94;44.64
249710047;-4.11;41.68
200041721;6.23;47.91
200069128;3.78;44.49
200068450;-0.01;48.75
200040814;1.43;45.62
200059228;2.52;48.61
200068229;5.33;44.32
240200493;3.28;49.93
243301264;-0.56;44.66
244400503;-1.61;47.39
243400694;3.58;43.66
242700276;0.93;48.98
200000628;4.73;44.26
200034411;3.96;43.94
200066785;-2.28;47.84
200069136;3.79;44.27
200067379;4.76;48.82
245701404;5.96;49.44
246800569;7.18;47.92
200068468;0.55;48.76
200066512;1.36;46.02
200069581;-0.38;44.61
247900798;-0.21;46.97
244301123;3.81;44.86
200030526;7.57;48.21
244400552;-1.20;47.46
200015162;9.43;42.19
244500419;2.72;48.10
200069102;3.56;44.68
200066751;2.00;45.10
200000438;-2.08;47.48
200067189;1.84;45.96
248400319;5.04;43.92
200027217;1.19;44.90
247400666;6.44;46.16
241200567;3.15;44.13
200066769;1.74;45.05
200068278;2.77;47.62
200035541;-0.18;44.08
241400415;0.12;49.34
200071926;2.25;43.02
200070829;0.52;42.99
200042620;4.56;49.14
246300701;3.09;45.77
200071918;-1.24;46.84
200069599;-0.09;44.70
244400537;-1.59;47.54
240200477;3.33;49.38
200039063;4.85;47.46
200035319;6.75;43.46
200069110;6.04;45.62
200067197;-3.82;48.37
200036465;7.12;47.81
247300528;5.69;45.57
200066520;0.88;45.73
200043693;5.62;49.46
200027027;-2.37;47.56
200085728;3.32;45.29
200070845;5.88;49.21
200040889;0.54;44.72
200040400;0.38;45.29
200068047;2.44;49.25
200071934;-0.84;46.49
242900694;-3.62;47.92
244500468;1.93;47.90
200035129;4.25;44.26
200041762;-0.94;45.93
200067163;2.83;43.81
243200599;0.92;43.47
200069169;2.74;45.63
200066330;2.51;47.22
241200542;2.54;44.07
241400878;0.18;49.25
200041523;-0.40;45.38
200070811;-0.07;42.87
200043263;3.95;50.12
249730045;-1.16;42.14
200066348;2.79;43.44
200071900;-1.49;46.47
200049187;5.35;49.20
200034692;4.57;44.17
248100158;2.06;43.55
244600532;1.64;44.37
200066108;5.33;48.57
200023737;1.45;44.48
200042604;-1.48;48.84
242320000;1.61;46.12
200067171;2.78;44.73
246600282;2.98;42.62
200069177;3.16;45.66
200066587;4.46;45.69
249730052;-1.18;41.86
200072825;5.34;47.47
245701206;6.63;48.85
200040624;5.39;43.90
243400017;3.86;43.62
248500621;-1.03;46.85
240400440;5.80;44.02
200069383;2.00;44.35
244500203;2.71;47.99
200035137;1.28;46.48
247800584;2.12;48.80
200042653;2.99;43.39
244900015;-0.55;47.49
246800577;7.34;48.20
200069144;3.16;44.73
247400690;6.04;46.11
200066793;6.15;45.89
200068070;6.04;47.07
200042414;5.27;46.75
